trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
91,0,91,0,10,138.5267135000322,138.5267135000322,0.028144199983216822,[0.10092592592592593],[0.38055555555555554],[1],[0],[0],[0.9835513000143692],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
92,0,92,0,5,139.5267872000113,139.5267872000113,0.016178000019863248,[-0.06666666666666667],[-0.4898148148148148],[1],[0],[0],[1.728550300002098],[],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
93,0,93,0,5,141.2788881000597,141.2788881000597,0.01845619990490377,[0.4601851851851852],[-0.05925925925925926],[1],[0],[0],[1.2599191000917926],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
94,0,94,0,10,142.5736462000059,142.5736462000059,0.02811380010098219,[0.3453703703703704],[-0.23703703703703705],[1],[0],[0],[1.4336720000719652],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
95,0,95,0,5,144.0282899000449,144.0282899000449,0.017634499934501946,[-0.3907407407407407],[-0.4898148148148148],[1],[0],[0],[1.7437664000317454],[],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
96,0,96,0,10,145.80635700002313,145.80635700002313,0.02753740001935512,[0.2712962962962963],[-0.3],[1],[0],[0],[1.4175505000166595],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
97,0,97,0,10,147.2571463000495,147.2571463000495,0.02814900001976639,[0.48333333333333334],[0.3962962962962963],[1],[0],[0],[1.1996292000403628],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
98,0,98,0,10,148.48881080001593,148.48881080001593,0.02703899994958192,[-0.3314814814814815],[-0.4287037037037037],[1],[0],[0],[1.2356899000005797],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
99,0,99,0,10,149.75803819997236,149.75803819997236,0.028769999975338578,[-0.2490740740740741],[-0.35833333333333334],[1],[0],[0],[1.3655829000053927],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
100,0,100,0,10,151.15596250002272,151.15596250002272,0.026637200033292174,[-0.36666666666666664],[0.13240740740740742],[1],[0],[0],[1.1012716999975964],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
101,0,101,0,5,152.27714450005442,152.27714450005442,0.016792600043118,[-0.39814814814814814],[-0.4962962962962963],[1],[0],[0],[1.5449450999731198],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
102,0,102,0,10,153.85695439996198,153.85695439996198,0.028221899992786348,[-0.42314814814814816],[-0.49907407407407406],[1],[0],[0],[1.4835714000510052],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
103,0,103,0,5,155.36238780000713,155.36238780000713,0.01861210004426539,[-0.08703703703703704],[-0.08888888888888889],[1],[0],[0],[1.343288200092502],[],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
104,0,104,0,10,156.74260810005944,156.74260810005944,0.030023100087419152,[0.15],[-0.08425925925925926],[1],[0],[0],[1.0485591000178829],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
105,0,105,0,10,157.82431479997467,157.82431479997467,0.028419199981726706,[0.11481481481481481],[-0.07314814814814814],[1],[0],[0],[0.8830746000166982],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
106,0,106,0,10,158.7411081000464,158.7411081000464,0.02814159996341914,[-0.2759259259259259],[-0.15],[1],[0],[0],[1.0998116999398917],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
107,0,107,0,10,159.87397219997365,159.87397219997365,0.028613599948585033,[-0.2361111111111111],[-0.35648148148148145],[1],[0],[0],[1.0164662000024691],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
108,0,108,0,10,160.92300209996756,160.92300209996756,0.02734869997948408,[-0.5111111111111111],[0.34814814814814815],[1],[0],[0],[1.5010227999882773],[],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
109,0,109,0,10,162.45726659998763,162.45726659998763,0.028599499957636,[-0.032407407407407406],[-0.03796296296296296],[1],[0],[0],[2.949180099996738],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
110,0,110,0,10,165.44026790000498,165.44026790000498,0.028776299906894565,[0.13333333333333333],[0.37592592592592594],[1],[0],[0],[1.4500527000054717],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
111,0,111,0,10,166.92231619998347,166.92231619998347,0.02675189997535199,[0.3990740740740741],[-0.25833333333333336],[1],[0],[0],[1.3184783000033349],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
112,0,112,0,10,168.27333720005117,168.27333720005117,0.02701969991903752,[-0.24351851851851852],[-0.25833333333333336],[1],[0],[0],[1.2675763999577612],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
113,0,113,0,5,169.5615109000355,169.5615109000355,0.017953400034457445,[0.41388888888888886],[-0.1962962962962963],[1],[0],[0],[1.143761400016956],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
